Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,candle_periodicity,break_type,trend_type,break_direction,dx,stop_gain_distance,stop_loss_distance,start_hour,start_min,last_hour,last_min,daily_loss,daily_gain,max_trades
6579,"0,02","17585,00",25.89838,1.34186,5.76557,0.15076,"0,017585","14,64",679,2,1,0,0,12,18,23,9,30,15,45,940,370,10
6571,"0,02","17585,00",25.89838,1.34186,5.76557,0.15076,"0,017585","14,64",679,2,1,0,0,12,18,23,9,30,15,45,940,370,17
6549,"0,02","17585,00",25.89838,1.34186,5.76557,0.15076,"0,017585","14,64",679,2,1,0,0,12,18,23,9,30,15,45,940,370,6
6541,"0,02","17585,00",25.89838,1.34186,5.76557,0.15076,"0,017585","14,64",679,2,1,0,0,12,18,23,9,30,15,45,940,370,14
6535,"0,02","17585,00",25.89838,1.34186,5.76557,0.15076,"0,017585","14,64",679,2,1,0,0,12,18,23,9,30,15,45,940,370,18
6518,"0,02","17585,00",25.89838,1.34186,5.76557,0.15076,"0,017585","14,64",679,2,1,0,0,12,18,23,9,30,15,45,940,370,13
6527,"0,02","17585,00",25.89838,1.34186,5.76557,0.15076,"0,017585","14,64",679,2,1,0,0,12,18,23,9,30,15,45,940,370,7
6489,"0,02","17585,00",25.89838,1.34186,5.76557,0.15076,"0,017585","14,64",679,2,1,0,0,12,18,23,9,30,15,45,940,370,20
6437,"0,02","17585,00",25.89838,1.34186,5.76557,0.15076,"0,017585","14,64",679,2,1,0,0,12,18,23,9,30,15,45,940,370,8
6515,"0,02","17580,00",25.89102,1.34172,5.75450,0.15074,"0,01758","14,66",679,2,1,0,0,12,18,23,9,30,15,45,940,370,5
6510,"0,02","17365,00",28.79768,1.38952,5.96735,0.16501,"0,017365","13,07",603,2,1,0,0,15,18,23,9,30,15,45,940,370,6
6478,"0,02","17365,00",28.79768,1.38952,5.96735,0.16501,"0,017365","13,07",603,2,1,0,0,15,18,23,9,30,15,45,940,370,15
6476,"0,02","17365,00",28.79768,1.38952,5.96735,0.16501,"0,017365","13,07",603,2,1,0,0,15,18,23,9,30,15,45,940,370,12
6454,"0,02","17365,00",28.79768,1.38952,5.96735,0.16501,"0,017365","13,07",603,2,1,0,0,15,18,23,9,30,15,45,940,370,14
6452,"0,02","17365,00",28.79768,1.38952,5.96735,0.16501,"0,017365","13,07",603,2,1,0,0,15,18,23,9,30,15,45,940,370,10
6446,"0,02","17365,00",28.79768,1.38952,5.96735,0.16501,"0,017365","13,07",603,2,1,0,0,15,18,23,9,30,15,45,940,370,16
6441,"0,02","17365,00",28.79768,1.38952,5.96735,0.16501,"0,017365","13,07",603,2,1,0,0,15,18,23,9,30,15,45,940,370,19
6434,"0,02","17365,00",28.79768,1.38952,5.96735,0.16501,"0,017365","13,07",603,2,1,0,0,15,18,23,9,30,15,45,940,370,17
6392,"0,02","17365,00",28.79768,1.38952,5.96735,0.16501,"0,017365","13,07",603,2,1,0,0,15,18,23,9,30,15,45,940,370,13
6350,"0,02","17365,00",28.79768,1.38952,5.96735,0.16501,"0,017365","13,07",603,2,1,0,0,15,18,23,9,30,15,45,940,370,8
6329,"0,02","17365,00",28.79768,1.38952,5.96735,0.16501,"0,017365","13,07",603,2,1,0,0,15,18,23,9,30,15,45,940,370,20
6327,"0,02","17365,00",28.79768,1.38952,5.96735,0.16501,"0,017365","13,07",603,2,1,0,0,15,18,23,9,30,15,45,940,370,18
6322,"0,02","17365,00",28.79768,1.38952,5.96735,0.16501,"0,017365","13,07",603,2,1,0,0,15,18,23,9,30,15,45,940,370,7
6315,"0,02","17365,00",28.79768,1.38952,5.96735,0.16501,"0,017365","13,07",603,2,1,0,0,15,18,23,9,30,15,45,940,370,5
